OBJECTID,STREETSEGID,SSD_ID,SOURCEID,ROUTETYPE,ROUTE_ID,SNOWZONE,AGENCY,BEGINMEASURE,ENDMEASURE,SNOWAREA,SHAPE_Length
32,9515,3002301886917235012,30230330,Priority Hills, ,8,DPW,0,265.052174,802,265.052196
33,3716,1001401803818039012,10140370,Secondary,37,9,DPW,0,58.890079,,58.890095
34,1162,1092691614016141012,19269640,Secondary,2,1,DPW,0,239.712161,,239.71215
35,298,2000901462121527012,20090190,Primary,47,11,DDOT,0,187.441696,,187.441663
36,1091,5031912146721473011,53191222,Primary,54,12,DDOT,0,332.969942,,332.969914
37,3523,2075461570717810012,27546125,Primary,45,10,DDOT,0,180.217372,,180.217396
38,12512,3059452116207661012,35945300,Primary,67,8,DPW,0,57.513186,,57.513187
39,12506,2004901928720516012,20490010,Secondary,59,13,DDOT,0,122.39038,,122.390396
40,2446,2029641635016858012,22964090,Secondary,59,13,DDOT,0,66.280528,,66.280543
41,8203,3059451669120226012,35945269,Primary,67,8,DPW,0,163.022903,,163.022949
42,12787,3092881552218479012,39288320,Secondary,67,8,DPW,0,160.169965,,160.169981
43,7280,2000302128321011012,20030595,Priority Hills, ,10,DDOT,0,76.070461,1001,76.070477
44,4960,2031981874918649012,23198638,Secondary,38,10,DDOT,0,22.330857,,22.33088
45,12946,2077671670312987012,27767210,Priority Hills, ,11,DDOT,0,78.339263,1104,78.339269
46,8495,5031911882818626010,53191114,Secondary,53,12,DDOT,0,40.89136,,40.891344
47,8954,3068701944318642012,36870300,Priority Hills, ,7,DPW,0,144.650334,703,144.650318
48,2521,1054082108900175010,15408170,Priority Hills, ,4,DPW,0,299.838909,401,299.838903
49,11505,3015341591113828012,31534460,Primary,57,14,DPW,0,66.461933,,66.461918
50,4713,3085541860316885012,38554450,Priority Hills, ,14,DPW,0,94.191446,1403,94.191462
51,2369,2001802166818583012,20180340,Secondary,42,10,DDOT,0,109.859647,,109.859647
52,5065,1057851505415121012,15785330,Primary,12,3,DPW,0,155.260704,,155.260683
53,6413,1057001729716102012,15700500,Primary,7,3,DPW,0,213.952564,,213.952556
54,6853,3081511687717304012,38151565,Secondary,60,14,DPW,0,106.787397,,106.787397
55,10617,2089761548022025012,28976005,Priority Hills, ,10,DDOT,0,69.581241,1004,69.58124
56,10611,1051352093116630012,15135580,Secondary,34,10,DDOT,0,277.426563,,277.426552
57,1668,1001001647516476011,10100030,Secondary,25,5,DPW,0,187.523676,,187.523704
58,2246,1003401503915040012,10340343,Primary,5,2,DPW,0,54.300034,,54.300034
59,13053,3089892060800831010,38989070,Secondary,55,12,DDOT,0,48.20479,,48.204805
60,1232,4058501512414628012,45850060,Primary,28,5,DPW,0,149.881289,,149.881291
61,4179,1051351599418281012,15135490,Secondary,31,9,DPW,0,58.971427,,58.971427
62,12174,1022882127718918010,12288009,Primary,2,1,DPW,0,13.419537,,13.419494
63,74,1050891456314564012,15089073,Primary,25,5,DPW,0,179.917935,,179.91795
64,11697,1001401720216809012,10140735,Priority Hills, ,9,DPW,0,78.110294,902,78.110278
65,11832,1086902004517437012,18690191,Priority Hills, ,9,DPW,0,228.675154,901,228.675155
66,12400,1068901701420097012,16890109,Secondary,13,4,DPW,0,55.404042,,55.404042
67,8771,2060901753319454012,26090287,Secondary,40,11,DDOT,0,95.787501,,95.787479
68,11785,1000501464721216012,10050635,Secondary,30,9,DPW,0,64.040201,,64.040201
69,2221,1033861686216863012,13386160,Priority Hills, ,4,DPW,0,110.623996,405,110.62398
70,13005,3003232063620637012,30323210,Narrow Road, ,7,DPW,0,305.434791,703,305.434807
71,9648,1003002095315167012,10300550,Secondary,1,1,DPW,0,174.920077,,174.920118
72,2700,2049722016221313012,24972475,Priority Hills, ,13,DDOT,0,81.120246,1303,81.120246
73,7778,5065321770220049012,56532073,Primary,46,5,DDOT,0,71.587907,,71.587915
74,7347,2000301732115078012,20030615,Priority Hills, ,10,DDOT,0,73.103138,1001,73.103133
75,4153,3063501452017298012,36350300,Primary,63,7,DPW,0,477.571072,,477.571075
76,11137,1092692006019117012,19269473,Primary,4,1,DPW,0,103.424089,,103.424088
77,12755,2037632092214944012,23763488,Priority Hills, ,10,DDOT,0,63.918815,1004,63.918798
78,9738,1053491932220735011,15349225,Primary,22,6,DPW,0,106.686701,,106.686714
79,6287,3021581936618290012,32158545,Secondary,60,14,DPW,0,105.781359,,105.781344
80,1324,3000401458017282010,30040055,Secondary,53,12,DDOT,0,158.900101,,158.900101
81,9179,1001701617219852012,10170075,Primary,23,6,DPW,0,154.792653,,154.792625
82,2845,2031981743215079012,23198615,Secondary,38,10,DDOT,0,85.947202,,85.947203
83,13012,1039522039617878012,13952445,Priority Hills, ,3,DPW,0,104.612488,304,104.612503
84,12739,5065322092518357012,56532655,Secondary,34,9,DPW,0,94.828106,,94.828129
85,10656,1050892093816522012,15089290,Secondary,12,3,DPW,0,92.006508,,92.006508
86,3412,1063761281521022012,16376473,Primary,3,1,DPW,0,52.631282,,52.63129
87,12868,3002501589418270010,30250160,Secondary,63,7,DPW,0,140.833701,,140.833685
88,2208,1003701684916850012,10370190,Primary,11,3,DPW,0,126.085269,,126.085268
89,7596,3009361883915522012,30936083,Primary,66,8,DPW,0,42.486036,,42.486036
90,8624,2000602046518761012,20060117,Secondary,50,12,DDOT,0,74.860099,,74.860099
91,6908,2042441864119596012,24244100,Primary,51,12,DDOT,0,97.100395,,97.100395
92,97,2019821459711045011,21982133,Secondary,54,12,DDOT,0,54.800267,,54.800267
93,2059,1036721673616737012,13672010,Primary,19,4,DPW,0,113.62677,,113.626785
94,6303,2002401563216874012,20240170,Priority Hills, ,11,DDOT,0,83.802847,1104,83.802847
95,1795,1048751881421175011,14875030,Primary,14,4,DPW,0,278.438011,,278.438002
96,11883,2061161504815445012,26116415,Secondary,56,13,DDOT,0,123.183899,,123.183888
97,1629,2001201910618378012,20120350,Secondary,43,10,DDOT,0,110.060225,,110.060224
98,12403,3061161868118432012,36116355,Secondary,56,14,DPW,0,99.863327,,99.863335
99,11855,2000901545019418012,20090015,Priority Hills, ,12,DDOT,0,86.162532,1203,86.162532
100,8166,1003101926820222012,10310135,Secondary,12,3,DPW,0,91.000625,,91.000653
101,9540,3046731962119644012,34673148,Priority Hills, ,7,DPW,0,71.341493,706,71.341504
102,2155,2059471524016802012,25947120,Secondary,51,12,DDOT,0,189.916191,,189.916217
103,13088,1070851762914844010,17085000,Priority Hills, ,9,DPW,0,14.334691,901,14.334681
104,1386,3063501918916022010,36350220,Secondary,63,7,DPW,0,104.413186,,104.41319
105,7104,2078191815219743012,27819508,Secondary,39,10,DDOT,0,118.500428,,118.500439
106,8942,3009362050020501012,30936095,Primary,66,8,DPW,0,77.093125,,77.093125
107,4505,1050701925822011012,15070120,Priority Hills, ,9,DPW,0,72.596501,902,72.596495
108,3502,4000701779214546012,40070079,Secondary,28,5,DPW,0,109.392596,,109.392615
109,6305,3059451734414974012,35945310,Primary,67,8,DPW,0,114.224389,,114.224389
110,4944,1037891873800848012,13789165,Primary,10,3,DPW,0,63.750613,,63.750648
111,3926,1088011712716728012,18801050,Secondary,31,10,DDOT,0,75.254574,,75.254574
112,4567,1084761562415625012,18476165,Priority Hills, ,9,DPW,0,104.337124,901,104.337126
113,5233,1055961894517198012,15596470,Priority Hills, ,1,DPW,0,48.331707,105,48.331705
114,5272,3061161737217932012,36116190,Secondary,63,7,DPW,0,119.764295,,119.7643
115,9424,1075271935119333012,17527500,Primary,5,1,DPW,0,45.515073,,45.515094
116,11421,1080081970518325012,18008270,Secondary,18,4,DPW,0,109.501861,,109.501901
117,5595,3059601435817397012,35960425,Secondary,61,7,DDOT,0,78.21655,,78.216528
118,10919,1084301743715525012,18430180,Priority Hills, ,9,DPW,0,102.086285,901,102.086267
119,6292,2079951665219368012,27995500,Secondary,59,13,DDOT,0,90.759947,,90.759949
120,7561,3009360808016317012,30936210,Primary,66,8,DPW,0,89.706987,,89.706968
121,3550,1001301783715577012,10130760,Priority Hills, ,9,DPW,0,103.920034,902,103.920034
122,8929,2000401816921791011,20040040,Secondary,50,12,DDOT,0,147.931047,,147.931031
123,8918,2004732016218943010,20473090,Narrow Road, ,13,DDOT,0,152.153449,1303,152.153465
124,6753,1011051848618337012,11105500,Secondary,33,9,DPW,0,99.396355,,99.396385
125,5080,1068382142419911012,16838080,Secondary,23,5,DPW,0,89.210412,,89.210428
126,2996,1001801567808944012,10180371,Priority Hills, ,4,DPW,0,80.526506,401,80.5265
127,10702,4000701454619612012,40070080,Secondary,28,5,DPW,0,102.119447,,102.11944
128,10398,2081441834619142012,28144340,Primary,40,10,DDOT,0,140.404862,,140.404884
129,1473,1056421820018343012,15642140,Priority Hills, ,9,DPW,0,261.062667,902,261.062682
130,12913,1001301821619817012,10130120,Primary,17,5,DPW,0,176.815879,,176.815862
131,1549,2062201508015081012,26220050,Secondary,47,11,DDOT,0,108.944009,,108.944001
132,3274,3000401766814906012,30040395,Priority Hills, ,8,DPW,0,33.580004,805,33.580004
133,2906,2031981541115412012,23198320,Secondary,40,11,DDOT,0,212.338104,,212.338137
134,5784,3071111918515866012,37111237,Secondary,65,7,DPW,0,177.513277,,177.513255
135,7014,1000601717717178012,10060110,Secondary,18,5,DPW,0,164.312848,,164.312826
136,7654,1001201648715278010,10120025,Primary,26,5,DPW,0,123.637295,,123.637308
137,3188,1033861727117272011,13386170,Priority Hills, ,4,DPW,0,106.666008,405,106.665992
138,8831,1064412046715537012,16441297,Secondary,8,3,DPW,0,50.801427,,50.801384
139,2542,1064281706317064012,16428165,Secondary,18,5,DPW,0,85.45197,,85.451981
140,4791,1075271866018661012,17527450,Primary,5,2,DPW,0,95.580774,,95.580772
141,11595,2055642041121073012,25564180,Secondary,45,10,DDOT,0,84.984892,,84.984892
142,10324,1031331527819153012,13133120,Secondary,27,5,DPW,0,135.201981,,135.201962
143,12206,3009361743021282012,30936155,Primary,66,8,DPW,0,58.257792,,58.257787
144,9886,1001302211420130012,10130420,Secondary,33,9,DPW,0,354.841017,,354.841016
145,11610,1002101630422036011,10210160,Secondary,21,4,DPW,0,81.828709,,81.828706
146,5541,1086121906920362012,18612305,Secondary,3,2,DPW,0,326.942432,,326.942454
147,8465,1001201527817140010,10120050,Primary,26,5,DPW,0,134.392353,,134.392335
148,8773,3037241668420084012,33724150,Priority Hills, ,7,DPW,0,51.129697,702,51.129688
149,12695,1057981590717714012,15798507,Priority Hills,,3,DPW,0,78.634163,302,78.634159
150,5837,3061161525814557012,36116330,Secondary,56,14,DPW,0,108.536693,,108.536692
151,2069,1003901855520685012,10390280,Narrow Road, ,3,DPW,0,149.223309,304,149.223308
152,9815,1064411930916900012,16441330,Secondary,8,3,DPW,0,63.263231,,63.263267
153,158,4047972155321314010,44797170,NPS, ,,NPS,0,436.22563,,436.225598
154,8328,1075461710520265012,17546040,Primary,23,5,DPW,0,91.372418,,91.372419
155,3369,1059601621417070012,15960510,Primary,6,3,DPW,0,120.947051,,120.947029
156,13581,3040751971322491012,34075230,Primary,63,7,DPW,0,98.331822,,98.331819
157,12346,1037890036920330012,13789145,Primary,10,3,DPW,0,226.938018,,226.938014
158,3166,2044072167619735012,24407520,Priority Hills, ,13,DDOT,0,129.349582,1303,129.349582
159,2215,1068900068819045012,16890170,Primary,13,4,DPW,0,95.662377,,95.625024
160,1442,4059451497716833012,45945407,Secondary,69,8,DPW,0,76.171839,,76.171835
161,4277,3092881702219093012,39288435,Secondary,67,8,DPW,0,100.438325,,100.438321
162,5400,1084561810517721011,18456010,Secondary,19,4,DPW,0,43.889268,,43.889271
163,3213,1001102009721242012,10110345,Secondary,17,4,DPW,0,109.515987,,109.515987
164,6234,1080212183815285012,18021550,Narrow Road, ,3,DPW,0,193.622748,302,193.622753
165,13481,3018591817322367012,31859130,Secondary,65,8,DPW,0,120.012329,,120.012291
166,8047,5081252016613361012,58125470,Primary,69,8,DPW,0,107.094149,,107.094162
167,11021,1000901988615049012,10090105,Primary,26,5,DPW,0,138.058016,,138.058042
168,4491,5065322141221475012,56532115,Primary,46,12,DDOT,0,106.965101,,106.965102
169,1054,2052061960120173012,25206070,Priority Hills, ,10,DDOT,0,279.373643,1002,279.373641
170,10793,3075661963820971012,37566040,Secondary,61,14,DPW,0,148.675278,,148.67527
171,5318,2015991670322002012,21599180,Primary,52,11,DDOT,0,216.421823,,216.421787
172,1266,3040751506015061012,34075140,Primary,63,7,DPW,0,68.441379,,68.441363
173,9681,2075461453818535012,27546260,Primary,41,11,DDOT,0,113.31014,,113.31015
174,407,1059731493514936012,15973335,Priority Hills, ,3,DPW,0,70.752821,302,70.752822
175,12947,2000601806420013010,20060035,Secondary,50,12,DDOT,0,82.2408,,82.24081
176,4128,1001302207314942012,10130240,Secondary,17,4,DPW,0,149.12429,,149.124259
177,7574,2000901997919980012,20090170,Primary,47,11,DDOT,0,160.43829,,160.438293
178,6333,3061291939117574012,36129210,Secondary,66,8,DPW,0,125.914895,,125.914876
179,8333,1019631797614670012,11963090,Secondary,32,9,DPW,0,110.245363,,110.245364
180,2821,1001201921418184012,10120750,Priority Hills, ,9,DPW,0,88.150533,903,88.150517
181,11042,1001901554119217011,10190070,Primary,24,6,DPW,0,139.222633,,139.222661
182,8395,1064222028920290012,16422510,Primary,35,10,DDOT,0,137.021037,,137.021031
183,12487,3009361552320500012,30936090,Primary,66,8,DPW,0,18.717025,,18.717025
184,4425,2084892210621545012,28489020,Secondary,44,10,DDOT,0,121.259921,,121.259921
185,5915,3001601923719238012,30160220,Priority Hills, ,7,DPW,0,93.488927,705,93.48893
186,6376,1046081553616810012,14608135,Priority Hills, ,9,DPW,0,253.18091,902,253.18091
187,12127,2059472150715135012,25947135,Secondary,51,12,DDOT,0,86.993133,,86.99315
188,7289,3012741990015765012,31274310,Narrow Road, ,7,DPW,0,46.990103,703,46.990087
189,10004,1001902193418315011,10190130,Secondary,24,6,DPW,0,72.829016,,72.829013
190,7729,1072861668515204011,17286120,Secondary,16,5,DPW,0,58.25107,,58.251086
191,9043,1036461543917202012,13646135,Priority Hills, ,9,DPW,0,99.021391,902,99.021391
192,7299,3033281455821996012,33328350,Priority Hills, ,14,DPW,0,106.720194,1405,106.720193
193,3918,2001201795608689012,20120510,Priority Hills, ,10,DDOT,0,185.37357,1002,185.373611
194,1653,1016051646216463012,11605470,Secondary,31,9,DPW,0,41.742021,,41.74202
195,6189,2062461840619945012,26246140,Primary,48,11,DDOT,0,198.173985,,198.173973
196,600,1017481550014610012,11748310,Secondary,3,1,DPW,0,112.282778,,112.282808
197,2462,2031981701715609012,23198068,Secondary,60,13,DDOT,0,34.743419,,34.743398
198,7011,2015341964513740012,21534150,Primary,49,12,DDOT,0,173.936528,,173.936476
199,12225,1095032084117851012,19503180,Priority Hills, ,9,DPW,0,139.617945,901,139.61797
200,10119,1072861781114603012,17286270,Secondary,12,3,DPW,0,188.809703,,188.809693
201,4328,1040431578621102011,14043060,Narrow Road, ,4,DPW,0,107.528634,403,107.52862
202,1002,1024631838418246010,12463100,Primary,14,4,DPW,0,103.57935,,103.57939
203,10372,3045431877720869012,34543460,Priority Hills, ,14,DPW,0,183.078874,1404,183.078902
204,4710,2000401580115005011,20040027,Secondary,53,12,DDOT,0,55.070942,,55.070946
205,9483,1031982003920040012,13198750,Secondary,29,9,DPW,0,139.921754,,139.921754
206,9686,1088011511315115012,18801090,Secondary,31,10,DDOT,0,38.7834,,38.783417
207,7032,5031911971516777012,53191550,Primary,62,14,DPW,0,189.443871,,189.44389
208,9768,3045112206521427012,34511420,Priority Hills, ,14,DPW,0,190.356771,1404,190.356788
209,204,1042441850822023012,14244050,Primary,27,5,DPW,0,84.878864,,84.878869
210,3520,1027091780617807012,12709420,Primary,4,3,DPW,0,727.520965,,727.520958
211,12240,2031982064119825012,23198630,Secondary,38,10,DDOT,0,28.956099,,28.956088
212,3621,2081441543014539012,28144307,Primary,40,11,DDOT,0,97.114199,,97.114236
213,11818,2059471871315982012,25947210,Secondary,48,11,DDOT,0,94.411932,,94.411926
214,4325,2059601482518035012,25960025,Primary,46,12,DDOT,0,41.62441,,41.624424
215,4353,2061551895120016012,26155150,Secondary,58,11,DDOT,0,253.321834,,253.321834
216,7328,2080731991819825012,28073620,Priority Hills, ,10,DDOT,0,21.780618,1001,21.780626
217,8779,1001701470517730012,10170127,Secondary,16,6,DPW,0,76.450367,,76.450354
218,6407,1019892098722033010,11989180,Priority Hills, ,4,DPW,0,226.133218,405,226.133226
219,6934,3001231716017255012,30123260,Secondary,65,8,DPW,0,106.598389,,106.598379
220,12094,5031911406520615012,53191010,Secondary,54,12,DDOT,0,208.31179,,208.311806
221,4079,1050891920619152012,15089040,Secondary,25,5,DPW,0,238.680347,,238.680347
222,9833,2012962035119570012,21296275,Priority Hills, ,11,DDOT,0,214.422175,1102,214.42217
223,8588,1016052144816462012,11605460,Secondary,31,9,DPW,0,142.933674,,142.933686
224,4741,2004832028619265012,20483090,Priority Hills, ,13,DDOT,0,163.159666,1303,163.159684
225,11978,1001701828317271012,10170240,Priority Hills, ,4,DPW,0,200.921127,405,200.921143
226,9158,1027822194319884011,12782360,Narrow Road, ,3,DPW,0,97.731432,304,97.731414
227,6212,1039521787917411012,13952460,Priority Hills, ,3,DPW,0,295.511976,303,295.51196
228,1813,1016381509115092012,11638710,Primary,34,9,DPW,0,34.089076,,34.089066
229,9012,2064872197217383012,26487050,Priority Hills, ,10,DDOT,0,95.672647,1001,95.672664
230,12187,3002701745417834012,30270160,Priority Hills, ,7,DPW,0,140.680402,704,140.680402
231,11370,1065581557516411012,16558170,Secondary,29,9,DPW,0,303.38476,,303.384775
232,11176,3061161890415667012,36116143,Secondary,63,7,DPW,0,39.165853,,39.165852
233,681,2039261953518913012,23926080,Priority Hills, ,10,DDOT,0,171.603315,1002,171.603297
234,5455,2000901481218073012,20090030,Priority Hills, ,12,DDOT,0,133.933004,1202,133.932988
235,1538,5065321506915070012,56532640,Secondary,34,9,DPW,0,97.46023,,97.46023
236,5829,1002201921119212010,10220130,Primary,22,6,DPW,0,73.434451,,73.434465
237,7034,2062461092818766012,26246110,Primary,48,11,DDOT,0,51.7959,,51.79593
238,7680,1000601789918988011,10060230,Narrow Road, ,4,DPW,0,149.272609,403,149.272625
239,2569,2001902095519170010,20190030,Secondary,49,12,DDOT,0,163.74682,,163.746826
240,5919,1010921647919240012,11092310,Primary,7,3,DPW,0,159.049121,,159.049131
241,10950,3063181586818633012,36318290,Priority Hills, ,7,DPW,0,143.294744,701,143.29479
242,11078,3085541467320779012,38554421,Priority Hills, ,14,DPW,0,26.983415,1403,26.983428
243,9466,1001101569207740012,10110170,Secondary,17,5,DPW,0,118.590275,,118.590315
244,7565,1092691537016546012,19269543,Primary,2,1,DPW,0,249.115163,,249.115146
245,5381,2053491899717778012,25349090,Priority Hills, ,12,DDOT,0,19.740365,1201,19.740365
246,2051,3005101453415576012,30510020,Priority Hills, ,14,DPW,0,75.642573,1402,75.642586
247,4338,1068381834918350012,16838189,Secondary,21,6,DPW,0,56.468814,,56.468828
248,11114,3005101557617010012,30510025,Priority Hills, ,14,DPW,0,76.459507,1402,76.459507
249,2393,1014431697016971010,11443383,Priority Hills, ,3,DPW,0,70.860314,305,70.860314
250,3142,2019820645821240011,21982125,Secondary,54,12,DDOT,0,82.380093,,82.380093
251,11433,3047970075718369010,34797030,Primary,54,12,DDOT,0,126.830197,,126.830213
252,6431,2000801691119128012,20080100,Secondary,51,12,DDOT,0,31.810271,,31.810255
253,2549,1088331707317074012,18833640,Secondary,2,1,DPW,0,166.229801,,166.229787
254,1332,5065321522515226012,56532260,Primary,46,10,DDOT,0,118.441969,,118.44197
255,11696,1003701883421570012,10370220,Primary,11,3,DPW,0,91.937745,,91.937745
256,6215,1001101803018031012,10110280,Secondary,17,4,DPW,0,110.415121,,110.415105
257,3295,1002902195816559012,10290343,Narrow Road, ,2,DPW,0,111.710264,204,111.710248
258,9986,3040751514314161012,34075260,Primary,63,7,DPW,0,73.697722,,73.697724
259,519,3016901530315304012,31690450,Secondary,61,14,DPW,0,82.555834,,82.555838
260,9918,1059601888415928012,15960350,Primary,20,2,DPW,0,136.635028,,136.635029
261,5907,2063251571219234012,26325580,Secondary,60,13,DDOT,0,113.834305,,113.83429
262,6931,1059601555519608012,15960162,Primary,20,4,DPW,0,79.724855,,79.724809
263,10698,3009361286019854012,30936400,Secondary,61,7,DDOT,0,331.899295,,331.899288
264,9356,3046731454417007012,34673141,Priority Hills, ,7,DPW,0,82.418687,706,82.4187
265,12878,2057651680019765011,25765160,Priority Hills, ,11,DDOT,0,105.689859,1105,105.689883
266,6967,2018981920914739012,21898178,Secondary,40,11,DDOT,0,202.970045,,202.970048
267,3394,2035621119515609010,23562580,Narrow Road, ,13,DDOT,0,161.501308,1304,161.50133
268,43,2081441453914540012,28144310,Primary,40,11,DDOT,0,200.156621,,200.156619
269,5877,1000501712717128011,10050420,Secondary,31,10,DDOT,0,57.475925,,57.475926
270,1868,1015011661716618012,11501161,Priority Hills, ,4,DPW,0,147.161239,405,147.161246
271,9467,1038611801416377010,13861220,Secondary,24,6,DPW,0,112.618585,,112.618625
272,11979,3011701995214905012,31170020,Secondary,69,8,DPW,0,130.979946,,130.979945
273,3238,2059471764817649012,25947070,Secondary,51,12,DDOT,0,117.858791,,117.858779
274,1899,3015341664616647012,31534485,Primary,57,14,DPW,0,114.097897,,114.097912
275,4001,2060581711617117012,26058160,Primary,44,10,DDOT,0,29.755616,,29.755625
276,2527,1001702195921016012,10170313,Priority Hills, ,4,DPW,0,98.242261,401,98.242262
277,11000,2001201480918955012,20120280,Secondary,43,10,DDOT,0,110.953967,,110.953963
278,11188,1038611737517191012,13861070,Secondary,26,5,DPW,0,88.356261,,88.356245
279,32,1001001452714528011,10100075,Secondary,25,5,DPW,0,85.173232,,85.173216
280,518,1050701557718539012,15070130,Priority Hills, ,9,DPW,0,180.011115,902,180.0111
281,4702,1037571816519320012,13757130,Priority Hills, ,9,DPW,0,262.35892,907,262.358922
282,2872,1028862174522035010,12886300,Priority Hills,,3,DPW,0,142.594408,308,142.594376
283,5352,2001802219121968012,20180250,Secondary,42,11,DDOT,0,118.950638,,118.950654
284,7170,5081251352714857012,58125020,Secondary,28,5,DPW,0,172.234024,,172.234008
285,2697,1017481602416025012,11748280,Secondary,3,1,DPW,0,132.347579,,132.34758
286,6191,2031981845118123012,23198387,Secondary,40,11,DDOT,0,42.115278,,42.115256
287,4098,3047772156721800011,34777100,Secondary,55,12,DDOT,0,96.522612,,96.522642
288,12852,2015991680020067012,21599115,Primary,52,11,DDOT,0,44.414767,,44.414747
289,12083,1091711465320700012,19171520,Priority Hills, ,3,DPW,0,414.942185,302,414.942152
290,11211,1039521393616119012,13952350,Secondary,8,2,DPW,0,194.101363,,194.101362
291,12371,3092301762017007012,39230250,Priority Hills, ,7,DPW,0,114.858647,706,114.858645
292,3070,1045822211220096012,14582160,Priority Hills, ,4,DPW,0,507.651518,401,507.651525
293,2283,2001301527316887012,20130420,Secondary,39,10,DDOT,0,119.191024,,119.191072
294,11248,2001701944712774011,20170000,Secondary,49,12,DDOT,0,125.050818,,125.050799
295,10458,1087231594821212012,18723110,Primary,19,4,DPW,0,90.781597,,90.781597
296,8418,2025352030120302012,22535120,Primary,54,12,DDOT,0,85.881463,,85.881463
297,11633,3059452116121162012,35945290,Primary,67,8,DPW,0,53.683947,,53.683933
298,4253,1048161451216539011,14816060,Secondary,27,5,DPW,0,184.146485,,184.146522
299,9041,2001802196819009012,20180260,Secondary,42,11,DDOT,0,118.910779,,118.910762
300,1124,3015341611216113012,31534480,Primary,57,14,DPW,0,167.203858,,167.203859
301,10561,1046152160422120012,14615360,Narrow Road, ,4,DPW,0,89.998724,402,89.998725
302,2223,1001401560415963012,10140431,Secondary,37,9,DPW,0,80.010034,,80.010018
303,1499,3040751636816369012,34075185,Primary,63,7,DPW,0,61.30649,,61.30649
304,10335,1064281457419631012,16428050,Secondary,27,5,DPW,0,140.138819,,140.138787
305,11956,1003431593621245012,10343340,Narrow Road, ,2,DPW,0,182.974008,204,182.97396
306,6078,1089891930419305012,18989247,Primary,24,6,DPW,0,76.395284,,76.395321
307,11798,1035552121817855012,13555290,Priority Hills, ,1,DPW,0,202.308652,105,202.308687
308,10589,3033281970019701012,33328370,Priority Hills, ,14,DPW,0,169.764401,1405,169.764398
309,11847,1068382048820370012,16838315,Secondary,21,3,DPW,0,166.452629,,166.452597
310,9827,1057911966913895012,15791447,Secondary,9,3,DPW,0,219.763793,,219.763785
311,1315,1076311624116242012,17631430,Primary,4,1,DPW,0,139.308738,,139.308748
312,150,2062460988914655012,26246118,Primary,48,11,DDOT,0,48.608598,,48.608612
313,9254,3009361531618839012,30936080,Primary,66,8,DPW,0,55.777844,,55.777847
314,8449,3083722144317985012,38372115,Priority Hills, ,7,DPW,0,284.451375,706,284.451372
